MORXXX_015ADCP015R00_20070427.40.2,MORXXX_015ADCP015R00_20070427.50
HMS001_020ADCP019R00_20030505.40.2,HMS001_020ADCP019R00_20030505.50
SCPXXX_015ADCP015R00_20070119.40.2,SCPXXX_015ADCP015R00_20070119.50
TPT001_018ADCP018R00_20030120.40.2,TPT001_018ADCP018R00_20030120.50
ELLXXX_015ADCP015R00_19990721.40.2,ELLXXX_015ADCP015R00_19990721.50
PURXXX_015ADCP015R00_19990904.40.2,PURXXX_015ADCP015R00_19990904.50
SR15CX_015ADCP014R00_20020627.40.2,SR15CX_015ADCP014R00_20020627.50
ARGXXX_015ADCP015R00_20001205.40.2,ARGXXX_015ADCP015R00_20001205.50
SCPXXX_015ADCP015R00_20070918.40.2,SCPXXX_015ADCP015R00_20070918.50
TPT001_018ADCP018R00_20080304.40.2,TPT001_018ADCP018R00_20080304.50
ALEXXX_015ADCP015R00_20040526.40.2,ALEXXX_015ADCP015R00_20040526.50
PURXXX_015ADCP015R00_20040526.40.2,PURXXX_015ADCP015R00_20040526.50
MLPA_subtidal.71.1,MLPA_subtidal.51
MLPA_subtidal.61.1,MLPA_subtidal.51
SHB001_021ADCP020R00_20021017.40.2,SHB001_021ADCP020R00_20021017.50
pisco_intertidal.33.2,pisco_intertidal.53
pisco_intertidal.31.6,pisco_intertidal.53
pisco_intertidal.58.4,pisco_intertidal.53
pisco_intertidal.59.4,pisco_intertidal.53
pisco_intertidal.33.2,pisco_intertidal.52
pisco_intertidal.31.6,pisco_intertidal.52
pisco_intertidal.32.7,pisco_intertidal.52
pisco_intertidal.43.1,pisco_intertidal.52
pisco_intertidal.30.6,pisco_intertidal.54
pisco_intertidal.31.6,pisco_intertidal.54
pisco_intertidal.32.7,pisco_intertidal.54
pisco_intertidal.42.8,pisco_intertidal.54
pisco_intertidal.30.6,pisco_intertidal.55
pisco_intertidal.31.6,pisco_intertidal.55
pisco_intertidal.32.7,pisco_intertidal.55
pisco_intertidal.41.9,pisco_intertidal.55
pisco_intertidal.30.6,pisco_intertidal.56
pisco_intertidal.31.6,pisco_intertidal.56
pisco_intertidal.32.7,pisco_intertidal.56
pisco_intertidal.40.7,pisco_intertidal.56
pisco_intertidal.33.2,pisco_intertidal.50
pisco_intertidal.31.6,pisco_intertidal.50
pisco_intertidal.32.7,pisco_intertidal.50
pisco_intertidal.45.1,pisco_intertidal.50
pisco_intertidal.30.6,pisco_intertidal.57
pisco_intertidal.31.6,pisco_intertidal.57
pisco_intertidal.58.4,pisco_intertidal.57
pisco_intertidal.59.4,pisco_intertidal.57
Jinyuntang.4.1,Jinyuntang.15
Jinyuntang.5.1,Jinyuntang.15
Jinyuntang.6.1,Jinyuntang.15
Jinyuntang.7.1,Jinyuntang.15
Jinyuntang.8.1,Jinyuntang.15
Jinyuntang.9.1,Jinyuntang.15
Jinyuntang.12.1,Jinyuntang.15
Jinyuntang.13.1,Jinyuntang.15
tao.12550.1,tao.12551
pisco_snbs.17.1,pisco_snbs.27
pisco_snbs.18.1,pisco_snbs.27
pisco_snbs.28.1,pisco_snbs.27
pisco_snbs.19.1,pisco_snbs.27
pisco_snbs.30.1,pisco_snbs.27
pisco_snbs.20.1,pisco_snbs.27
pisco_snbs.17.1,pisco_snbs.31
pisco_snbs.18.1,pisco_snbs.31
pisco_snbs.32.1,pisco_snbs.31
pisco_snbs.19.1,pisco_snbs.31
pisco_snbs.34.1,pisco_snbs.31
pisco_snbs.20.1,pisco_snbs.31
pisco_snbs.33.1,pisco_snbs.31
pisco_snbs.17.1,pisco_snbs.35
pisco_snbs.18.1,pisco_snbs.35
pisco_snbs.36.1,pisco_snbs.35
pisco_snbs.19.1,pisco_snbs.35
pisco_snbs.38.1,pisco_snbs.35
pisco_snbs.20.1,pisco_snbs.35
pisco_snbs.37.1,pisco_snbs.35
pisco_snbs.17.1,pisco_snbs.39
pisco_snbs.18.1,pisco_snbs.39
pisco_snbs.40.1,pisco_snbs.39
pisco_snbs.19.1,pisco_snbs.39
pisco_snbs.42.1,pisco_snbs.39
pisco_snbs.20.1,pisco_snbs.39
pisco_snbs.41.1,pisco_snbs.39
pisco_snbs.17.1,pisco_snbs.21
pisco_snbs.18.1,pisco_snbs.21
pisco_snbs.22.1,pisco_snbs.21
pisco_snbs.19.1,pisco_snbs.21
pisco_snbs.17.1,pisco_snbs.23
pisco_snbs.18.1,pisco_snbs.23
pisco_snbs.24.1,pisco_snbs.23
pisco_snbs.19.1,pisco_snbs.23
pisco_snbs.26.1,pisco_snbs.23
pisco_snbs.20.1,pisco_snbs.23
pisco_snbs.25.1,pisco_snbs.23
wliao.8.2,wliao.9
nikkis.143.2,nikkis.142
nikkis.145.1,nikkis.142
nikkis.146.1,nikkis.142
nikkis.79.1,nikkis.76
nikkis.80.2,nikkis.76
nikkis.81.1,nikkis.76
nikkis.82.1,nikkis.76
nikkis.83.1,nikkis.76
nikkis.84.1,nikkis.76
nikkis.85.1,nikkis.76
nikkis.88.1,nikkis.76
nikkis.89.1,nikkis.76
nikkis.90.1,nikkis.76
wliao.25.2,wliao.26
pisco_recruitment.12.1,pisco_recruitment.62
pisco_recruitment.13.1,pisco_recruitment.62
pisco_recruitment.14.1,pisco_recruitment.62
pisco_recruitment.70.1,pisco_recruitment.62
judithk.946.1,judithk.929
judithk.945.1,judithk.929
nikkis.25.4,nikkis.23
judithk.947.1,judithk.926
judithk.944.1,judithk.926
judithk.827.1,judithk.820
judithk.822.1,judithk.820
judithk.885.1,judithk.820
judithk.934.1,judithk.820
judithk.297.1,judithk.306
judithk.308.1,judithk.306
judithk.309.1,judithk.306
judithk.311.1,judithk.306
judithk.312.1,judithk.306
judithk.935.1,judithk.306
judithk.936.1,judithk.306
judithk.941.1,judithk.920
judithk.922.1,judithk.920
judithk.923.1,judithk.920
judithk.942.1,judithk.920
judithk.938.1,judithk.937
judithk.939.1,judithk.940
nikkis.123.1,nikkis.122
nikkis.125.1,nikkis.124
nikkis.126.1,nikkis.124
nikkis.127.1,nikkis.124
nikkis.132.1,nikkis.124
nikkis.133.1,nikkis.124
nikkis.135.1,nikkis.124
nikkis.136.1,nikkis.124
nikkis.137.1,nikkis.124
nikkis.148.2,nikkis.149
nikkis.104.1,nikkis.103
mbauer.18.1,nceas.950
mbauer.19.1,nceas.950
mbauer.20.1,nceas.950
mbauer.21.1,nceas.950
mbauer.22.1,nceas.950
mbauer.23.1,nceas.911
pisco_recruitment.76.2,pisco_recruitment.73
pisco_recruitment.77.1,pisco_recruitment.73
pisco_recruitment.78.1,pisco_recruitment.73
pisco_recruitment.79.2,pisco_recruitment.73
Rreeves.19.1,Rreeves.20
Rreeves.21.1,Rreeves.20
Rreeves.22.1,Rreeves.20
Rreeves.23.1,Rreeves.20
Rreeves.24.1,Rreeves.20
Rreeves.4.1,Rreeves.5
SHLX00_XXXITBDXLSR01_20060514.40.2,SHLX00_XXXITBDXLSR01_20060514.50
SMSXXX_015MTBD003R00_20061011.40.2,SMSXXX_015MTBD003R00_20061011.50
SHLX00_XXXITBDXLSR01_20030418.40.2,SHLX00_XXXITBDXLSR01_20030418.50
SHLX00_XXXITBDXLSR01_20020328.40.2,SHLX00_XXXITBDXLSR01_20020328.50
SHLX00_XXXITBDXLSR02_19990415.40.2,SHLX00_XXXITBDXLSR02_19990415.50
SMSXXX_015MTBD003R00_20061031.40.2,SMSXXX_015MTBD003R00_20061031.50
SMSXXX_015MTBD003R00_20061212.40.2,SMSXXX_015MTBD003R00_20061212.50
ben_ray.3.1,ben_ray.6
ben_ray.5.1,ben_ray.6
borer.3.1,borer.13
borer.6.1,borer.14
borer.7.1,borer.14
borer.8.1,borer.14
borer.10.1,borer.14
borer.11.1,borer.14
borer.3.1,borer.4
borer.6.1,borer.5
borer.7.1,borer.5
borer.8.1,borer.5
borer.10.1,borer.5
borer.11.1,borer.5
bpond.6.1,bpond.5
brooke.63.1,brooke.36
chadden.43.1,chadden.48
